 ID    Official Name                Used for
----------------------------------------------
  0     None                        Silence
  1     Unused ID                   Unused ID
  2     Unused ID                   Unused ID
  3     Unused ID                   Unused ID
  4     Unused ID                   Unused ID
  5     Unused ID                   Unused ID
  6     Unused ID                   Unused ID
  7     Unused ID                   Unused ID
  8     Unused ID                   Unused ID
  9     Unused ID                   Unused ID
  10    Unused ID                   Unused ID
  11    Unused ID                   Unused ID
  12    Unused ID                   Unused ID
  13    Unused ID                   Unused ID
  14    Unused ID                   Unused ID
  15    Unused ID                   Unused ID
  16    Unused ID                   Unused ID
  17    Unused ID                   Unused ID
  18    Unused ID                   Unused ID
  19    Unused ID                   Unused ID
  20    Unused ID                   Unused ID
  21    Unused ID                   Unused ID
  22    Unused ID                   Unused ID
  23    Unused ID                   Unused ID
  24    Unused ID                   Unused ID
  25    Unused ID                   Unused ID
  26    Unused ID                   Unused ID
  27    Unused ID                   Unused ID
  28    Unused ID                   Unused ID
  29    Unused ID                   Unused ID
  30    Unused ID                   Unused ID
  31    Unused ID                   Unused ID
  32    Unused ID                   Unused ID
  33    Unused ID                   Unused ID
  34    Unused ID                   Unused ID
  35    Unused ID                   Unused ID
  36    Unused ID                   Unused ID
  37    Unused ID                   Unused ID
  38    Unused ID                   Unused ID
  39    Unused ID                   Unused ID
  40    Cloister of Time and Souls  CS
  41    Royal Wanderlust            Cait Sith Theme
  42    Snowdrift Waltz             Xarcabard [S]
  43    Troubled Shadows            Castle Zvahl Baileys [S]/Castle Zvahl Keep [S]
  44    Where Lords Rule Not        La Vaule [S]/Beadeaux [S]/Castle Oztroja [S]
  45    Summers Lost                CS
  46    Goddess Divine              WotG Final Battle
  47    Echoes of Creation          ACP Final Battle
  48    Main Theme                  CS
  49    Luck of the Mog             AMK Final Battle
  50    Feast of the Ladies         ASA Final Battle
  51    Scarlet Skies, Shadowed Plains   Abyssea
  52    Melodies Errant             Battle (Abyssea zones)
  53    Shinryu                     Shinryu
  54    Everlasting Bonds           CS
  55    Provenance Watcher          Provenance Watcher Battle
  56    Where it All Begins         Provenance
  57    Steel Sings, Blades Dance   Battle (Seekers zones)
