---------------------------------------
Values 1 through 146 are FoV Regimes.
Values 147 through 559 are Hunt Registries.
Values 560 through 601 are Dominion Regimes.
Values 302 through 819 are Dominion Regimes.

---------------------------------------
Fields of Valor

Regime ID   Å™	Area   Å´	Listing   Å´
0 	None 	No regime.
1 	West Ronfaure 	Worms
2 	West Ronfaure 	Hares
3 	West Ronfaure 	Beetles/Funguars
4 	West Ronfaure 	Orcs/Beetles
5 	La Theine Plateau 	Saplings/Wasps
6 	La Theine Plateau 	Funguars
7 	Valkurm Dunes 	Lizards/Hares
8 	Valkurm Dunes 	Crabs/Lizards
9 	Valkurm Dunes 	Flies/Crabs
10 	Valkurm Dunes 	Sheep/Flies
11 	Jugner Forest 	Leeches
12 	Jugner Forest 	Beetles/Leeches
13 	Jugner Forest 	Funguars/Beetles
14 	Jugner Forest 	Funguars/Tigers
15 	Batallia Downs 	Flies/Bas
16 	North Gustaberg 	Worms
17 	North Gustaberg 	Hornets
18 	North Gustaberg 	Vultures/Saplings
19 	North Gustaberg 	Quadav/Lizards
20 	Konschtat Highlands 	Worms/Lizards
21 	Pashhow Marshlands 	Flies
22 	Pashhow Marshlands 	Leeches/Flies
23 	Pashhow Marshlands 	Crawlers/Leeches
24 	Pashhow Marshlands 	Funguars/Crawlers
25 	Rolanberry Fields 	Wasps/Crawlers
26 	West Sarutabaruta 	Mandragoras
27 	West Sarutabaruta 	Rarabs
28 	West Sarutabaruta 	Crawlers/Birds
29 	West Sarutabaruta 	Yagudo/Crawler
30 	Tahrongi Canyon 	Saplings/Bees
31 	Tahrongi Canyon 	Akababas
32 	Buburimu Peninsula 	Mandragoras/Rarabs
33 	Buburimu Peninsula 	Crawlers/Mandragoras
34 	Buburimu Peninsula 	Dhalmel/Crawlers
35 	Buburimu Peninsula 	Leeches/Dhalmel
36 	Meriphataud Mountains 	Flies
37 	Meriphataud Mountains 	Lizards/Flies
38 	Meriphataud Mountains 	Beetles/Lizards
39 	Meriphataud Mountains 	Raptors/Beetles
40 	Sauromugue Champaign 	Lizards/Beetles
41 	Qufim Island 	Clippers/Worms
42 	Qufim Island 	Clippers/Seeker Bats
43 	Qufim Island 	Pugils/Clippers
44 	Qufim Island 	Gigas/Pugils
45 	Qufim Island 	Acrophies/Gigas/Pugils
46 	Beaucedine Glacier 	Tigers/Goblins
47 	Beaucedine Glacier 	Tigers/Statues
48 	Beaucedine Glacier 	Bat Eyes/Statues
49 	Beaucedine Glacier 	Goblin/Bat Eyes/Statues
50 	Beaucedine Glacier 	Gigas/Goblin/Bat Eye
51 	Xarcabard 	Skeleton/Etemmu
52 	Xarcabard 	Skeleton/Evil Weapon
53 	Xarcabard 	Evil Eyes/Skeleton/Evil Weapons
54 	Xarcabard 	Gigas/Evil Eyes/Skeletons
55 	Xarcabard 	Demon/Gigas/Evil Eye
56 	West Ronfaure 	Sheep/Goblin
57 	Valkurm Dunes 	Leeches/Goblin
58 	Jugner Forest 	Sapling/Screamer
59 	North Gustaberg 	Quadav/Sheep
60 	Pashhow Marshlands 	Quadav/Funguar/Goobbue
61 	West Sarutabaruta 	Yagudo/Bee
62 	Buburimu Peninsula 	Pugil/Goblin
63 	Meriphataud Mountains 	Coeurls/Evil Weapons
64 	East Ronfaure 	Pugils
65 	East Ronfaure 	Worms
66 	East Ronfaure 	Hares
67 	East Ronfaure 	Orcs/Funguar
68 	East Ronfaure 	Sheep/Beetles
69 	Latheine Plateau (note the typo) 	Sheep/Akbabas
70 	Latheine Plateau (note the typo) 	Sheep/Crab
71 	Latheine Plateau (note the typo) 	Bats/Funguar
72 	Battalia Downs 	Saplings/Flies
73 	Battalia Downs 	Saplings/Bas
74 	Battalia Downs 	Tigers/Goblins/Orcs
75 	Battalia Downs 	Tigers
76 	South Gustaberg 	Bees
77 	South Gustaberg 	Worms
78 	South Gustaberg 	Vultures/Saplings
79 	South Gustaberg 	Goblins
80 	South Gustaberg 	Lizards/Crabs
81 	Konschtat Highlands 	Saplings/Wasps
82 	Konschtat Highlands 	Wasps/Lizards
83 	Konschtat Highlands 	Quadav
84 	Konschtat Highlands 	Ambushers/Tinkerers/Butchers
85 	Rolanberry Fields 	Wasps/Leeches
86 	Rolanberry Fields 	Crawlers/Goblins
87 	Rolanberry Fields 	Crawlers/Quadav
88 	Rolanberry Fields 	Ochu
89 	East Sarutabaruta 	Mandragora
90 	East Sarutabaruta 	Bee
91 	East Sarutabaruta 	Rarabs
92 	East Sarutabaruta 	Crabs/Crawlers
93 	East Sarutabaruta 	Crows/Crawlers
94 	Tahrongi Canyon 	Rarabs/Pygmaioi
95 	Tahrongi Canyon 	Pygmaioi/Bees
96 	Tahrongi Canyon 	Crawlers/Dhalmel
97 	Sauromugue Champaign 	Raptors/Goblins
98 	Sauromugue Champaign 	Coeurls/Goblins
99 	Sauromugue Champaign 	Raptors/Yagudo
100 	Sauromugue Champaign 	Tabar Beaks/Evil Weapons
101 	Behemoth's Dominion 	Lesser Gaylas/Greater Gaylas
102 	Behemoth's Dominion 	Lesser Gayla/Evil Weapon
103 	Behemoth's Dominion 	Greater Gayla/Undead
104 	Cape Teriggan 	Bunnies/Lizards
105 	Cape Teriggan 	Crabs/Goblins
106 	Cape Teriggan 	Crabs/Raptors
107 	Cape Teriggan 	Crabs/Cockatrices
108 	Cape Teriggan 	Cockatrices/Manticores
109 	Eastern Altepa Desert 	Spiders
110 	Eastern Altepa Desert 	Auxiliarii/Fabers/Beetles
111 	Eastern Altepa Desert 	Funditors/Fabers/Dhalmel
112 	Eastern Altepa Desert 	Decurio/Sagittarii/Speculator/Manticore
